15;344
28;340
40;332
46;320
49;356
52;309
57;298
61;356
63;288
73;257
74;352
79;246
86;237
92;372
97;213
99;200
104;377
110;153
110;153
115;139
116;375
119;388
121;400
124;412
126;188
127;424
128;87
129;369
130;437
136;75
137;447
139;182
141;371
142;459
145;471
146;65
146;274
153;481
154;370
157;55
160;490
168;48
168;371
170;500
177;381
178;157
179;36
183;370
185;149
187;383
190;26
196;143
197;368
200;20
208;136
208;364
210;14
217;356
224;397
225;346
232;335
237;395
238;324
242;314
250;305
250;394
43;345
54;275
62;266
82;364
94;227
96;183
104;170
108;114
112;194
116;98
155;171
166;161
196;390
211;395
240;408
55;327
65;344
221;135
178;126
176;139
124;199
121;213
122;31
127;44
112;204
